series,episode,baker,result,signature,signature_ingredients,showstopper,showstopper_ingredients
9,1,Kim-Joy,IN,Orange Blossom York Biscuits,"Orange Blossom water, edible primula","""Me at Miyajima Shrine""","cinnamon, clove, ginger"
9,1,Luke,IN,Yorkshire Gingernuts,"Lime zest, lime juice, lime buttercream, ginger","""What Happens In Vegas...!""","cinnamon, orange zest, royal icing, cinnamon butter cream"
9,1,Rahul,IN,Fennel and Coconut Pitcaithly Bannock,"Fennel, Coconut, mixed peel, chocolate","""First Spring in the UK""","Dark chocolate, lemon buttercream, boiled sweets"
9,1,Ruby,IN,Masala Chai Devon Flats,"Cardamom, pistachio, clove, cinnamon, dark chocolate, masala chai","""Gingerbread Marathon Selfie""","Crystallised ginger, gold leaf, marshmallow fondant"
9,1,Terry,IN,Lake District Ginger Shortbread,"Oatmeal, chocolate wafer, crystallised ginger, shortbread","""Brandy Snap Selfie""","Vanilla buttercream, raspberry jam, crushed meringue, brandy snap"
9,1,Imelda,OUT,Cherry and White Chocolate Oatmeal Biscuits,"Cherry, White Chocolate, Oatmeal, Wholemeal flour","""Seaside Selfie""","lemon, ginger, ground almond, vanilla buttercream"
9,1,Manon,STAR BAKER,Hazelnut Cornish Shortbread,"Clotted cream, hazelnut, milk chocolate",Matcha and White Chocolate Ganache Japanese Selfie,"Matcha ganache, almond royal icing, white chocolate ganache"
9,2,Antony,IN,Cardamom and Coconut Burfi Traybake,"cardamom, coconut, almond frangipane, pineapple jam","Pistachio, Saffron and Rose Cake","pistachio, saffron swiss meringue buttercream, rose water, edible flowers"
9,2,Briony,IN,Turron and Orange Traybake,"Orange pastry, almond sponge, chocolate ganache, almond turron",Chocolate Fudge and Salted Caramel Creation,"Chocolate fudge, caramel sponge, salted caramel vodka buttercream, dark chocolate, peanut butter"
9,2,Dan,IN,Black Forest Slice,"vanilla cream, cherry, kirsch syrup, chocolate",Dark Chocolate and Raspberry Birthday Cake,"dark chocolate, raspberry, raspberry jam, italian meringue buttercream, white chocolate"
9,2,Jon,IN,Lemon Meringue Traybake,"lemon meringue, white chocolate, lemon, rosemary",Hawaiian Shirt Pina Colada Cake,"pineapple sponge, pineapple curd, coconut, chocolate"
9,2,Karen,IN,Almond and Marzipan Traybake with Rhubarb Jam,"marzipan, almond, rhubarb jam, custard powder, custard royal icing",Strawberry Fayre Chocolate Cake,"dark chocolate, strawberry ganache, strawberry jam, strawberry liqueur "
9,2,Kim-Joy,IN,Pandan Chiffon Cake with Palm Sugar Cream,"pandan, ooconut, palm sugar cream, royal icing, sugar spirals",Yuzu and Raspberry Genoise Cat Cake,"genoise sponge, yuzu curd, raspberry, fondant, italian meringue buttercream"
9,2,Manon,IN,Rosemary and Honey Traybake,"Pistachio nougatine, honey, rosemary, fig",Almond Princess Cake,"white chocolate, dark chocolate, almond crème diplomate, fondant"
9,2,Ruby,IN,Boozy Black Forest Traybake,"cherry, dark chocolate, white chocolate, kirsch","Chocolate Orange ""Jackson Pollock"" Collar Cake","chocolate mascarpone, hazelnut cream, orange cream, hazelnut brittle, white chocolate, orange liqueur"
9,2,Terry,IN,Rum and Raisin Traybake,"apple sauce, rum, raisins, dates, dark chocolate ganache, candied walnuts",Champagne and Strawberries Eiffel Tower Collar Cake,"white chocolate, champagne buttercream, strawberry, chocolate"
